,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.001,0.6,5,9,2,5,25,31,4
1,mlp,0.001,0.6,4,7,23,46,16,16,2
2,lstm,0.1,0.0,4,44,34,29,3,8,2
3,lstm,0.001,0.1,5,4,28,5,25,38,4
4,lstm,0.01,0.5,3,36,32,35,27,35,4
5,mlp,0.001,0.6,4,7,23,46,16,37,2
6,lstm,0.01,0.6,5,9,2,35,27,35,4
7,lstm,0.01,0.6,5,9,2,4,33,35,4
8,lstm,0.01,0.2,4,44,15,15,47,29,4
9,lstm,0.01,0.6,4,9,15,15,27,35,4
10,lstm,0.01,0.4,5,8,2,46,30,34,4
11,lstm,0.01,0.4,5,45,2,46,47,34,4
12,mlp,1e-05,0.2,2,41,4,30,9,30,4
13,lstm,0.1,0.0,3,44,24,6,15,33,2
14,lstm,0.1,0.0,4,28,38,29,18,8,2
15,lstm,0.1,0.0,4,44,34,6,15,8,2
16,lstm,0.01,0.6,4,14,15,15,25,31,2
17,lstm,0.01,0.0,5,45,36,28,47,31,2
18,lstm,0.01,0.4,5,9,2,5,36,8,2
19,lstm,0.01,0.7,5,13,2,22,47,36,2
20,lstm,0.01,0.4,5,8,2,22,47,29,2
21,lstm,0.01,0.0,5,8,28,5,30,31,3
22,lstm,0.01,0.0,5,45,2,35,3,8,2
23,lstm,0.1,0.0,3,44,22,6,15,33,2
24,lstm,0.01,0.0,5,14,28,22,47,31,2
25,lstm,0.01,0.4,5,28,36,29,47,8,2
26,lstm,0.01,0.6,5,21,8,15,23,42,2
